Tipo;Codigo Topaz;Agencia;Dirección;Area;Distrito;Provincia;Departamento;Zona
Agencia;880;Pangoa;Calle ucayali,sub lote mn-6,mz.20;285.36 m2;Pangoa ;Satipo;Junin;Centro
Agencia;349;Parcona;Centro Pablado Primera Etapa Mz i1 lote 9, distrito de Parcona;285.36 m2;Parcona;Ica;Ica;Sur
Agencia;479;Pardo;Av. Jose pardo 175-185;956.67 m2;Miraflores;Lima;Lima;Lima
Agencia;117;Pasco;pasaje 122 mz Ñ lt4-A, urbanización san Juan sección centro comercial;487.32 m2;Yanacancha;Pasco;Pasco;Centro
OI;100;Patapo;Av. Trapiche s/n al costado de la municipalidad;149.65 m2;Patapo;Chiclayo;Lambayeque;Norte
Agencia;172;Paucarpata;Av. Jesus nº1401 (pueblo joven jose carlos mariategui);267 m2;Paucarpata;Arequipa;Arequipa;Sur
Agencia;882;Pedro Ruiz;Avenida Marginal N° 101, distrito de Jazan, provincia de Bongará, departamento de Amazonas;273.08 m2;Jazan;Bongará;Amazonas;Oriente
Agencia;373;Pedro Vilcapaza;Av. HUANCANÉ N° 210, URB. VILLA HERMOSA DEL MISTI, DISTRITO DE JULIACA, DPTO PUNO;455 m2;Juliaca;San Roman ;Puno;Sur
Agencia;401;Pichanaqui;Av. Marginal Mz. D-1 Lote 14, Zona Baja del II Sector, AA.HH. Bajo ;453.04 m2;Pichanaqui;Chanchamayo ;Junin;Centro
OI;37;Pimentel;Calle Lima 449;134 m2;Chiclayo;Chiclayo;Lambayeque;Norte
Agencia;522;Pinto;Av. Pinto mz k lt 7 ;310 m2;Tacna;Tacna;Tacna;Sur
Matriz;613;Pinto Matriz;Av. Gustavo pinto n° 362;1058.57 m2;Tacna;Tacna;Tacna;Sur
Agencia;347;Pisco;Calle progreso  237 distrito de pisco, provincia de pisco, departamento de ica;313.85 m2;Pisco;Pisco;Ica;Sur
Agencia;611;Piura Centro; Calle Libertad N° 602 y Calle Callao N° 313-339, Zona Cercado Piura;681.29 m2;Piura;Piura;Piura;Norte
Agencia;611;Piura Centro; Calle Libertad N° 602 y Calle Callao N° 313-339, Zona Cercado Piura;681.29 m2;k;Piura;Piura;Norte
Agencia;809;Piura Grau;Prolongación av. Grau 2216 mz a lote 26 urb. Las mercedes;393.27 m2;Piura;Piura;Piura;Norte
Matriz;503;Piura Matriz;Av sanchez cerro n° 1279;709.58 m2;Piura;Piura;Piura;Norte
OI;OI;Pomacanchi;Centro Poblado Mz V1 Lote 16;85.16 m2;Pomacanchi;Acomayo;Cusco;Sur
OI;38;Pomalca;Calle 24 de Junio #121;281.16 m2;Pomalca;Chiclayo;Lambayeque;Norte
Agencia;571;Primavera;Av. Angamos Oeste 1754 Monterrico-Surco;378.20 m2;Surco;Lima;Lima;Lima
Matriz;506;Pro Unicachi;Av. Alfredo mendiola 7887-7889;489.20 m2;Los Olivos;Lima;Lima;Lima
Agencia;477;Proceres;Av. Proceres de la Ind. N° 1671 - Urb. Las Flores;485.1 m2;Sjl;Lima;Lima;Lima
Agencia;241;Pucallpa;Jr. Zavala Nro. 580 (Antes Lote 2A Manzana 146 de la Lotización de Pucallpa);320 m2;Callaría;Coronel Potillo ;Ucayali;Oriente
Matriz;505;Pucallpa Matriz;Jr. Coronel portillo 623 lote 14 mzP 54;429 m2;Callaria;Coronel Potillo ;Ucayali;Oriente
OI;101;Pueblo Nuevo;Jirón bolivar mz 108 lote 4 centro poblado nuevo colan;54.53 m2;Colan;Paita;Piura;Norte
Agencia;467;Puente Piedra;Urb. Sto Domingo 1ra etapa Mz C Lt. 18 - 19. Seccion Inmobiliaria N° 1 ;410 m2;Puente Piedra;Lima;Lima;Lima
Matriz;14;Puente Piedra Matriz;Av. Pte. Piedra, mz c - lt 07, urb.sto.domingo;346.87 m2;Puente Piedra;Lima;Lima;Lima
Matriz;518;Puerto Maldonado;Av. Ernesto rivero 716 tambopata;683.90 m2;Tambopata;Tambopata;Madre De Dios;Sur
Agencia;502;Puno;Jr. Puno 334 -326-342 secc 2 (1/2 Cdra Plza de Armas);382.85 m2;Puno;Puno;Puno;Sur
Matriz;13;Puno Matriz;Jr. Oquendo n° 248-250, distrito, provincia y departamento de puno;510.28 m2;Puno;Puno;Puno;Sur
Agencia;429;Puyango;Av. Fernando belaunde terry mz 20 lt n° 11 urbanización andrés araujo;410.25 m2;Tumbes;Tumbes;Tumbes;Norte
Matriz;380;Quillabamba;Jr. Machupicchu nº 193, urb. Santa ana, distrito de santa ana, provincia de la convencion y departamento de cusco;344.54 m2;Quillabamba;La Convención;Cusco;Sur
Matriz;387;Raul Porras;Jr. Raul porras barnechea n° 1048-1052, zona cercado, distrito de juliaca, provincia de san roman, departamento de puno;632.5 m2;Juliaca;San Roman ;Puno;Sur
OI;96;Recuay;Plaza de armas n° 154 del centro poblado barrio centro, distrito y provincia de recuay, departamento de ancash;65 m2;Recuay;Recuay;Ancash;Norte
Agencia;189;Rimac Alcazar;Av. Alcazar 378. Rimac;430.64 m2;Rimac;Lima;Lima;Lima
Matriz;452;Rimac Matriz;Av. Caquetá N° 998;734.78 m2;Rimac;Lima;Lima;Lima
Agencia;257;Rio Seco;Sub lote 6 km 9 de la carretera yura (interseccion via de evitamiento), distrito de cerro colorado, provincia y departamento de arequipa;483.60 m2;Cerro Colorado;Arequipa;Arequipa;Sur
Agencia;469;Saenz Peña;Av. Roque saénz peña n° 922-924;574.70 m2;Callao;Callao;Lima;Lima
Agencia;327;San Antonio;AV UNION JICAMARCA MZ R LOTE 7 SECTOR ESTE - ANEXO 08;399 m2;San Antonio;Huarochiri;Lima;Lima
OI;OI;San Genaro;Asentamiento humano municipal San Genaro Mz P Lote 6;32.11 m2;Chorrillos;Lima;Lima;Lima
OA;OA;San Genaro;Av. Principal manzana p. Lote 3;42.30 m2;Chorrillos;Lima;Lima;Lima
Agencia;883;San Ignacio;Av. San Ignacio  131,135  Provincia de  San Ignacio, Departamento de Cajamarca;243.45 m2;San Ignacio;San Ignacio;Cajamarca;Norte
OI;228;San Jacinto;JIRÓN SANTA N° 8;147.4 m2;Nepeña;Santa;Ancash;Norte
Agencia;421;San Jeronimo;Av. Llocllapata NRO. 670;477 m2;San Jeronimo;Cusco;Cusco;Sur
Agencia;530;San Juan De Collique;Av. Tupac amaru n° 7879 (mz b lt 12) urb san juan bautista - collique;518 m2;Comas;Lima;Lima;Lima
Matriz;1;San Juan De Lurigancho;Av. Próceres de la Independencia  1857 - 1859 (( ANTES MZ. J LOTE 5 ), Urb. San Hilarion, segunda etapa;916.9 m2;Sjl;Lima;Lima;Lima
Agencia;6;San Juan De Miraflores;Av. San juan 689 - 691, zona a;552.20 m2;Sjm;Lima;Lima;Lima
Matriz;451;San Juan De Miraflores Matriz;Av. De los Heroes N° 516 - 518;760.69 m2;Sjm;Lima;Lima;Lima
Agencia;190;San Luis;Av. Canada 3979;270 m2;San Luis;Lima;Lima;Lima
OI;OI;San Marcos;Jirón Miguel Grau N° 430;64 m2;Pedro Galvez;San Marcos;Cajamarca;Norte
Matriz;468;San Martin Matriz;Av Perú 3420-3420A, 3424 Perú MZ 9 Lt 16 3ra Zona;786.61 m2;Smp;Lima;Lima;Lima
Agencia;350;San Miguel;PROLONGACION 28 DE JULIO CUADRA 2, MZ46 , LT 10;516.23 m2;San Miguel;San Miguel;Cajamarca;Norte
OI;OI;San Pablo;JIRÓN LIMA N° 318;51 m2;SAN PABLO;SAN PABLO;CAJAMARCA;Norte
Agencia;512;San Pedro;Av. Triunfo cdra. 3 s/n Puerto 1 (Av. Triunfo 750);189 m2;Chorrillos;Lima;Lima;Lima
Agencia;282;Santa;Jr. Huallaga N° 224 (antes Mz. C Lote 13), Urbanización Casco Urbano ;302 m2;Santa;Santa;Ancash;Norte
Matriz;457;Santa Anita Plaza;Av. Nicolas ayllón n° 3236;715.91 m2;Ate Vitarte;Lima;Lima;Lima
Agencia;595;Santa Clara;Av. Parque cívico 185 urb. Fundo la estrella ate;939 m2;Ate Vitarte;Lima;Lima;Lima
BN;BN;Santa Cruz;JIRÓN JUAN UGAZ N° 199;109.84 m2;Santa Cruz;Santa Cruz;Cajamarca;Norte
Agencia;850;Santa Luzmila;Av. Universitaria Norte esquina con Psje. Peatonal s/n, Mz.: P, Lt: 13 ;605 m2;Comas;Lima;Lima;Lima
Agencia;609;Santiago;Av. Antonio Lorena N° 394 - Distrito de Santiago;665.96 m2;Cusco;Cusco;Cusco;Sur
Agencia;811;Santiago De Chuco;Calle cesar vallejo 1204 ;442.29 m2;Santigo De Chuco;Santiago De Chuco;La Libertad;Norte
Matriz;247;Santiago Matriz;Av. Antonio lorena n° 999, distrito de santiago, provincia y departamento de cusco             ;389 m2;Santiago;Cusco;Cusco;Sur
Agencia;557;Satipo;Jr. Francisco Irazola letra B Mz 14,;753 m2;Satipo;Satipo;Junin;Centro
Agencia;129;Sechura;Calle Bolivar Nº 289 (antes Mz. 13, lote 21 Sector Norte);386 m2;Sechura;Sechura;Piura;Norte
Sala;;Sede Brasil (Jesus Maria);Av. Brasil N° 1403;1327 m2;Jesus Maria;Lima;Lima;Lima
OP;-;Sede Hatun Wasi;Av. Republica de Panama 4575;8290 m2;Surquillo;Lima;Lima;Lima
OP;-;Sede Hatun Wasi - 6 salas;Av. Republica de Panama 4575;216 m2;Surquillo;Lima;Lima;Lima
OP;-;Sede Hatun Wasi - piso 14;Av. Republica de Panama 4575;1671.03 m2;Surquillo;Lima;Lima;Lima
OP;-;Sede Hatun Wasi - piso 15;Av. Republica de Panama 4575;1671.03 m2;Surquillo;Lima;Lima;Lima
Matriz;206;Sicuani;Av. Manuel callo zevallos 256-258;374.86 m2;Sicuani;Canchis;Cusco;Sur
Matriz;760;Sihuas;Av. 28 de Julio MZ. E2 LT 5 # 141 Barrio Pingullo Bajo;288 m2;Sihuas;Sihuas;Ancash;Norte
OE;OE;Sorochuco;PUEBLO TRADICIONAL SOROCHUCO;43.14 m2;Sorochuco;Celendin;Cajamarca;Norte
Agencia;556;Sullana;Av. San martin 821-823;510.23 m2;Sullana;Piura;Piura;Norte
Matriz;149;Sullana Matriz;Centro poblado barrio leticia – jose de lama mz 12, lote 2, distrito y provincia de sullana y departamento de piura;844.58 m2;Sullana;Sullana;Piura;Norte
Agencia;828;Surco;Av. Los proceres n° 155, urbanizacion los proceres (antes urbanizacion los proceres primera etapa sector 3a g2 lote 7);430.08 m2;Surco;Lima;Lima;Lima
Matriz;470;Surquillo;Av. Republica de Panama  4517-4519;305 m2;Surquillo;Lima;Lima;Lima
Agencia;239;Tablada De Lurin;Jr. Ricardo palma n° 1008-1010-1012, pueblo joven san francisco tablada de lurin mz 4r lote 1, sector segundo;312.27 m2;Vmt;Lima;Lima;Lima
Agencia;555;Talara;Av. Grau a-39 talara (entre parque grau y mcdo nuevo talara);433.53 m2;Pariñas;Talara;Piura;Norte
Matriz;363;Tambo Grande;Jirón castilla n°417;469.09 m2;Tambo Grande;Sullana;Piura;Norte
Agencia;836;Tantamayo;Av. Tantamayo mz d lote 23, asociacion san juan bautista, smp.;317.06 m2;Smp;Lima;Lima;Lima
Matriz;158;Tarapoto Matriz;Jr. Plaza mayor nº 245;654.38 m2;Tarapoto;San Martin ;San Martin;Oriente
Matriz;516;Tarma;Jr. Lima 543;398 m2;Tarma;Tarma ;Junin;Centro
Agencia;322;Tingo Maria;Av. Alameda peru 555 - (mz. 24 lote 3) tingo maría - huanuco;313 m2;Rupa-Rupa;Leoncio Prado ;Huanuco;Centro
Agencia;94;Tocache;Jiron Fredy de Aliaga 151;339 m2;Tocache;Tocache;San Martin;Oriente
Agencia;425;Tres De Octubre;Jr. 3, Mz W, Lote 21, Pueblo Joven 3 de Octubre, Distrito de Socabaya, Provincia de Arequipa, Departamento de Arequipa.;556.73 m2;Socabaya;Arequipa;Arequipa;Sur
Agencia;427;Tres Marias;Av. Victor malasquez mz c, lote 07, sector central, centro poblado rural los huertos de manchay;636.68 m2;Pachacamac;Lima;Lima;Lima
Agencia;2;Trujillo;Av. España nº 1060-1066  centro histórico;1235 m2;Trujillo;Trujillo;La Libertad;Norte
Matriz;481;Trujillo Matriz;Jiron Diego de Almagro 564,  Centro civico;1185.49 m2;Trujilllo;Trujillo;La Libertad;Norte
Matriz;521;Tumbes Matriz;Calle bolivar 147;759 m2;Tumbes;Tumbes;Tumbes;Norte
Agencia;540;Tupac Amaru;Jr. Tupac amaru 885;650 m2;Juliaca;San Roman ;Puno;Sur
Agencia;130;Tupac Amaru De Villa;Av. 24 de Octubre, Manzana D-4, Lote 19, AA.HH. Tupac Amaru de Villa;553 m2;Chorrillos;Lima;Lima;Lima
Matriz;152;Tupac Amaru Matriz;Jr.Túpac Amaru N° 892, esquina con Jr. Moquegua N° 900;513 m2;Juliaca;San Roman ;Puno;Sur
Agencia;055;Urcos;Jr. Arica n° 217-221 (antes mz. E1 lote 3), distrito de urcos, provincia y departamento de cusco;126 m2;Urcos;Quispicanchi;Cusco;Sur
Agencia;884;Urubamba;Av. Torrechayoc N°135 ,Distrito y Provincia de Urubamba;216.50 m2;Urubamba;Urubamba;Cusco;Sur
Agencia;509;Valle Sharon;Av. Cesar canevaro lote 11  mz f - urb valle sharon;973 m2;Sjm;Lima;Lima;Lima
Agencia;799;Variante Uchumayo;Avenida Circunvalación Centro Poblado Semi Rural Pachacutec, Grupo zonal N° 10 Zona D Mz 52 Lote 9D Sección 1 y sección 2;469 m2;Cerro Colorado;Arequipa;Arequipa;Sur
Agencia;361;Ventanilla;Av. Mariscal cáceres mz c-1 lote 19 urbanización la bandera - ex zona comercial e industrial de ventanilla;758 m2;Ventanilla;Callao;Lima;Lima
Matriz;464;Ventanilla Matriz;Av. Principal mz c-3 lote 13.  Urb ventanilla;683 m2;Callao;Callao;Lima;Lima
Matriz;455;Villa El Salvador Matriz;Av. Juan velasco alvarado sector 2 grupo 8 mz f lt17;529 m2;Ves;Lima;Lima;Lima
Agencia;334;Villa Los Reyes;"Asentamiento humano villa los reyes mz ""e"" lote 3, sector 2";571.99 m2;Ventanilla;Callao;Lima;Lima
Agencia;270;Villa Maria Del Triunfo (San Gabriel);Av. Salvador allende 1306 - ppjj san juanito;457.76 m2;Sjm;Lima;Lima;Lima
Matriz;461;Villa Maria Del Triunfo Matriz;Av. El Triunfo 101-105 Esq. Av. Pachacutec 2281-2285 Mz H1 lote 5 1er Piso;1031.34 m2;Vmt;Lima;Lima;Lima
Matriz;461;Villa Maria Del Triunfo Matriz;Av. El Triunfo 101-105 Esq. Av. Pachacutec 2281-2285 Mz H1 lote 5 1er Piso;1031.34 m2;3413 m2;Lima;Lima;Lima
Agencia;873;Villa Rica;Centro poblado Villa Rica, Cercado Mz. D - Lote 13;233.77 m2;Villa Rica;Oxapampa;Pasco;Centro
Agencia;128;Viru;Av. Viru 2162-trujillo;415.30 m2;Viru;Viru;La Libertad;Norte
Agencia;325;Yauri;Calle sucre lt 14 a2 b y c espinar;308 m2;Espinar;Espinar;Cusco;Sur
Agencia;194;Yungay;Jr. Santa rosa manza a. Lote 11. Yungay. Ancash;192 m2;Yungay;Yungay;Ancash;Norte
Agencia;254;Yunguyo;Jr grau nro. 544;280 m2;Yunguyo ;Yunguyo ;Puno;Sur
Agencia;815;Yura;Asentamiento Poblacional Asociación Urbanizadora Ciudad de Dios MZ O Lote 5 Sector A Zona A;227.75 m2;Yura;Arequipa;Arequipa;Sur
Matriz;269;Zarate;Av. Gran chimu nro. 827 urb. Zarate sector b-1 lima lima san juan de lurigancho;640.04 m2;Sjl;Lima;Lima;Lima
;OI;Zorritos;Av. Grau n° 521, centro poblado zorritos;57.23 m2;Zorritos;Contra Almirante Villar;Tumbes;Norte
;;;;;;;;

