Tipo;Codigo Topaz;Agencia;Dirección;Area;Distrito;Provincia;Departamento;Zona
Agencia;399;Cayma;Av. Ramón castilla#1064-la tomilla;414.03 m2;Cayma;Arequipa;Arequipa;Sur
Agencia;19;Celendin;Jr. Dos de Mayo Nro. 679-685;238.72 m2;Celendin;Celendin;Cajamarca;Norte
OI;OI;Celendin;Jr. Cáceres 306, Distrito de Celendín, Prov. De Celendín Dpto. De Cajamarca;ATENDIDO;Celendin;Celendin;Cajamarca;Norte
Matriz;476;Centro Historico;Jr. Caraballa 400 402 406 408 - jr ucayali 180;1730.41 m2;Lima;Lima;Lima;Lima
Matriz;839;Cercado Matriz;Av. Inca Garcilazo de la Vega 1390-1394-1398, Esq con Av. España N° 200, 210, 214 y 218;495 m2;Lima;Lima;Lima;Lima
Agencia;484;Ceres Los Angeles;Av. Victor Raul Haya de la Torre Mz. D Lt. 24  - Urb. Los Angeles  de Vitarte;667.24 m2;Ate Vitarte;Lima;Lima;Lima
Matriz;16;Ceres Matriz;Av. Nicolás Ayllon Mz. E Lt. 6 Asociación Pro-Vivienda Virgen del Carmen;751.95 m2;Ate Vitarte;Lima;Lima;Lima
Matriz;281;Cerro Colorado;Av. Prolongación ejército 632 ;289.22 m2;Cerro Colorado;Arequipa;Arequipa;Sur
Agencia;318;Cerro Mocho;Calle 25 mz 64 lote n° 22 c.p. san jacinto;234.37 m2;Ignacio Escudero;Sullana;Piura;Norte
Agencia;820;Chachapoyas;Jirón Ortiz Arrieta N° 294 – 298 - Esquina Jirón Ortiz Arrieta y Salamanca c-02 Chachapoyas;PROCESO;Chachapoyas;Chachapoyas;Amazonas;Oriente
Agencia;124;Chepen;Calle trujillo nº 527;495.31 m2;Chepen;Chepen;La Libertad;Norte
Matriz;558;Chepen Matriz;Calle lima 406;676.97 m2;Chepen;Chepen;La Libertad;Norte
Agencia;474;Chiclayo Cercado; Calle lora y cordero n° 745;599.6 m2;Chiclayo;Lambayeque;Lambayeque;Norte
Matriz;60;Chiclayo Matriz;Av. José balta 1731;416.90 m2;Chiclayo;Chiclayo;Lambayeque;Norte
Agencia;537;Chilca;Calle real 600 chilca;486.27 m2;Chilca;Huancayo;Junin;Centro
Agencia;169;Chilca Sur;Prolog. Mariano ignacio prado nº 161;323.10 m2;Chilca;Cañete;Lima;Lima
Agencia;517;Chimbote;Jr.francisco bolognesi  683 zona casco urbano;ATENDIDO;Chimbote;Santa;Ancash;Norte
Matriz;11;Chimbote Matriz;Av. Francisco bolognesi n° 669 zona casco urbano;512.75 m2;Chimbote;Santa;Ancash;Norte
Matriz;473;Chincha;Av. Mariscal  castilla n° 182 - chincha alta;437.28 m2;Chincha Alta;Ica;Ica;Sur
Agencia;40;Chocope;Av. Bolivar nº 265 chocope;451.19 m2;Chocope;Ascope;La Libertad;Norte
Agencia;24;Chorrillos La Campiña;Av. Guardia civil 236 urb. La campiña;135 m2;Chorrillos;Lima;Lima;Lima
Matriz;459;Chorrillos Matriz;Av. Guardia civil 312;1233.85 m2;Chorrillos;Lima;Lima;Lima
Agencia;465;Chosica;Av. 28 de Julio 389  y 393. ;680.06 m2;Lurigancho - Chosica;Lima;Lima;Lima
Matriz;365;Chota;Jr. 27 de noviembre 581. Chota;588.59 m2;Chota ;Chota ;Cajamarca;Norte
Agencia;615;Chulucanas;Jr. La libertad n° 585 - 587;494 m2;Chulucanas;Morropon;Piura;Norte
Matriz;17;Chulucanas Matriz;Jr. Apurímac N°686-688 ;742.38 m2;Chulucanas;Morropon;Piura;Norte
Agencia;180;Chupaca;Jr. Bruno Terreros Nº 460, Chupaca, Provincia de Chupaca, Junín;480.04 m2;Chupaca;Chupaca;Junin;Centro
Matriz;547;Circunvalacion;Av. Circunvalación 2147 urb.el pino;676.81 m2;San Luis;Lima;Lima;Lima
Agencia;256;Ciudad Nueva;Mz 83, lote 15, asentamiento humano marginal ciudad nueva;431.47 m2;Ciudad Nueva;Tacna;Tacna;Sur
Agencia;202;Cocachacra;Av. Libertad  451 Mz D Lt 2- Distrito de Cocachacra, provincia de Islay;374.96 m2;Cocachacra;Islay;Arequipa;Sur
Agencia;423;Cocharcas;Urbanizacion Virgen de Cocharcas Mz B Blote 20,;467.16 m2;Ves;Lima;Lima;Lima
Matriz;458;Comas Matriz;Av. Tupar amaru 3857-3861. Urb. San agustin ;602.90 m2;Comas;Lima;Lima;Lima
Agencia;306;Combapata;Plaza de armas nro s/n (104 emporio señor de huanca) centro poblado: combapata;415.12 m2;Combapata;Canchis;Cusco;Sur
Agencia;111;Concepción;Jr. 9 de Julio N° 346;317.33 m2;Concepción;Concepción;Junin;Centro
Agencia;422;Cono Sur;Av. Martires del 4 de noviembre n° 102 -108;728.81 m2;Juliaca;San Roman ;Puno;Sur
Agencia;496;Covida;Av. Antunez de Mayolo 1388;586.12 m2;Los Olivos;Lima;Lima;Lima
OI;OI;Cruz de Médano;Calle 28 de Julio, Mz. E1, Lt. 34D, Centro poblado de Cruz de Medano;110.31 m2;Morrope;Lambayeque;Lambayeque;Norte
Agencia;485;Cusco;Av. Garcilazo de la Vega 232-238;489.43 m2;Cusco;Cusco;Cusco;Sur
Agencia;544;Cusco Centro;Av. La cultura 2111 urb. Magistral 1;457.42 m2;Centro;Cusco;Cusco;Sur
Matriz;46;Cusco Matriz;Av. Garcilazo N° 506;797.05 m2;Wanchaq;Cusco;Cusco;Sur
Matriz;524;Cusco Sur;Av. Pueblo Libertadores Mz. B Lt.2 y 3 ;427.20 m2;San Sebastian;Cusco ;Cusco;Sur
Agencia;242;Cutervo;Jirón 22 de octubre 1117;377.87 m2;Cutervo;Cutervo;Cajamarca;Norte
Agencia;48;Desaguadero;Av. 28 de Julio Nº 342 ;371.78 m2;Desaguadero;Chucuito;Puno;Sur
Agencia;531;El Agustino; Riva Agüero Cdra 1400-1404 entre Circunvalación y Riva Agüero Mz C Lt 27;463.20 m2;El Agustino;Lima;Lima;Lima
Agencia;120;El Agustino Mercado;Av. Riva agüero nº1375;352 m2;El Agustino;Lima;Lima;Lima
Agencia;545;El Dorado;Jr. Lima 367-377-379;721.94 m2;Tarapoto;Tarapoto;San Martin;Oriente
Agencia;343;El Milagro;Av. Miguel grau, mz 03 lote 7a (pueblo joven el milagro mz 3 sub lote 7a);329.59 m2;El Milagro;Huanchaco;La Libertad;Norte
Agencia;553;El Pedregal;Calle Islay Lt 2B MZ I - Villa el Pedregal;668.17 m2;Caylloma;Caylloma;Arequipa;Sur
Matriz;284;El Pedregal Matriz;Av. Sabandia S/N Mz. F Lt. 17 Centro poblado El Pedregal;394 m2;Caylloma;Caylloma;Arequipa;Sur
Agencia;519;El Porvenir;Pje el porvenir calle micaela bastidas  1233-1235;452 m2;El Porvenir;Trujillo;La Libertad;Norte
Matriz;358;El Porvenir Matriz;M. Bastidas 1258  (mz15  lt08);479.07 m2;El Porvenir;Trujillo;La Libertad;Norte
